id,alcoholic,IBA,category_Cocktail,category_Ordinary Drink,category_Punch / Party Drink,glass_Brandy snifter,glass_Champagne flute,glass_Cocktail glass,glass_Collins glass,glass_Copper Mug,glass_Highball glass,glass_Old-fashioned glass,glass_Pousse cafe glass,glass_Whiskey Glass,glass_Whiskey sour glass,glass_White wine glass,ingredientInName,instructions_length,tagsCount,ingredientsCount,classic,ginBased
11102,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.8721891512279051,1.11499088675579,-1.550146098557047,1,0
11106,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.11955490665405509,-0.46605439181855784,-0.7603378202047872,0,0
11112,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3105218045310021,1.9055135260429643,1.609087014851992,0,0
11113,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.4097850402092265,1.11499088675579,1.609087014851992,1,0
11117,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.33459326224658364,-0.46605439181855784,0.029470458147472553,0,0
11118,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7405985157160592,-0.46605439181855784,0.029470458147472553,0,0
11119,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.20300262673473776,-0.46605439181855784,0.8192787364997323,0,0
11120,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0631560491048522,-0.46605439181855784,1.609087014851992,0,1
11121,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.012035728857790801,-0.46605439181855784,0.029470458147472553,0,0
11124,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6330793379197949,-0.46605439181855784,0.8192787364997323,0,1
11128,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0872275068204338,-0.46605439181855784,0.029470458147472553,0,0
11129,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0631560491048522,-0.46605439181855784,0.8192787364997323,0,0
11145,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2458670048637592,-0.46605439181855784,1.609087014851992,0,0
11146,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7405985157160592,-0.46605439181855784,0.8192787364997323,0,0
11147,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7405985157160592,-0.46605439181855784,0.8192787364997323,0,0
11149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.33459326224658364,-0.46605439181855784,0.8192787364997323,0,1
11157,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.3857135824936448,-0.46605439181855784,1.609087014851992,0,0
11164,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.41804098232726633,-0.46605439181855784,0.8192787364997323,0,0
11170,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6330793379197949,-0.46605439181855784,0.029470458147472553,0,0
11202,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9556368713085878,1.11499088675579,-0.7603378202047872,1,0
11205,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7082711158824377,-0.46605439181855784,1.609087014851992,0,0
11222,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0872275068204338,-0.46605439181855784,0.029470458147472553,0,0
11224,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.33459326224658364,-0.46605439181855784,0.8192787364997323,0,1
11227,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7405985157160592,1.11499088675579,0.8192787364997323,1,0
11239,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0872275068204338,-0.46605439181855784,-0.7603378202047872,0,0
11242,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3105218045310021,-0.46605439181855784,1.609087014851992,0,0
11243,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5255601601235307,-0.46605439181855784,-0.7603378202047872,0,0
11251,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.33459326224658364,-0.46605439181855784,-0.7603378202047872,0,0
11255,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0872275068204338,-0.46605439181855784,-0.7603378202047872,0,0
11288,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.8721891512279051,1.11499088675579,-0.7603378202047872,1,0
11320,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.012035728857790801,-0.46605439181855784,-0.7603378202047872,0,1
11324,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3105218045310021,-0.46605439181855784,-0.7603378202047872,0,0
11326,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.012035728857790801,-0.46605439181855784,0.029470458147472553,0,1
11338,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4932327602899091,-0.46605439181855784,0.8192787364997323,0,1
11339,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2781944046973805,-0.46605439181855784,1.609087014851992,0,1
11368,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.5496316178391122,-0.46605439181855784,-1.550146098557047,0,1
11369,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.0872275068204338,-0.46605439181855784,0.029470458147472553,0,0
11375,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9797083290241694,-0.46605439181855784,-0.7603378202047872,0,0
11382,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6330793379197949,-0.46605439181855784,0.029470458147472553,0,0
11387,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9233094714749663,-0.46605439181855784,1.609087014851992,0,0
