id,alcoholic,IBA,category_Cocktail,category_Ordinary Drink,category_Punch / Party Drink,glass_Brandy snifter,glass_Champagne flute,glass_Cocktail glass,glass_Collins glass,glass_Copper Mug,glass_Highball glass,glass_Old-fashioned glass,glass_Pousse cafe glass,glass_Whiskey Glass,glass_Whiskey sour glass,glass_White wine glass,ingredientInName,instructionsLength,tagsCount,ingredientsCount,classic,gin
11146,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.4117647058823529,0.0,0.75,0,0
11147,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.4117647058823529,0.0,0.75,0,0
11149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.21568627450980393,0.0,0.75,0,1
11157,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5294117647058824,0.0,1.0,0,0
11164,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3529411764705882,0.0,0.75,0,0
11170,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3921568627450981,0.0,0.5,0,0
11202,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4509803921568627,0.2222222222222222,0.25,1,0
11205,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5882352941176471,0.0,1.0,0,0
11222,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.5,0,0
11224,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.21568627450980393,0.0,0.75,0,1
11227,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.4117647058823529,0.2222222222222222,0.75,1,0
11239,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.25,0,0
11242,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.0,1.0,0,0
11243,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.37254901960784315,0.0,0.25,0,0
11251,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.21568627450980393,0.0,0.25,0,0
11255,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.25,0,0
11288,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.11764705882352944,0.2222222222222222,0.25,1,0
11320,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27450980392156865,0.0,0.25,0,1
11324,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.25,0,0
11326,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.27450980392156865,0.0,0.5,0,1
11338,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5490196078431372,0.0,0.75,0,1
11339,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5098039215686274,0.0,1.0,0,1
